learning_rate,num_layers,num_nodes,batch_size,MAPE,MSE,R2
0.001,3,200,128,36.01570365499987,857483.0687712101,0.5702498005038054
0.001,3,250,128,24.101221652812153,301451.225855126,0.848919787261504
0.001,3,300,128,56.3828032249105,1008848.7808987929,0.4943888915800533
0.001,3,350,128,22.751730754098954,270551.0698645883,0.8644062133905082
0.001,4,200,128,22.46550863902365,277990.65083494334,0.8606776716587632
0.001,4,250,128,24.15643575792962,292072.6497739049,0.8536201074062163
0.001,4,300,128,25.11836639791514,313501.1810628727,0.8428806351860347
0.001,4,350,128,22.3591759976067,281727.84409194207,0.8588046789359418
0.001,5,200,128,27.858403186798796,280324.5201257868,0.8595079916617281
0.001,5,250,128,27.905360196369106,418563.70161088585,0.7902257889162613
0.001,5,300,128,24.214688506199767,337667.2240123864,0.8307691869757867
0.001,5,350,128,25.34033305879341,298844.7651165846,0.8502260836341803
