Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.010750000000000001,4.0,6860.0,2008.0,260.16,1026.3514595404267
0.00778,6.0,17650.0,1994.9999999999998,251.0,555.6079514548182
0.0078,6.0,13730.0,1000.9999999999999,163.28,465.3414477035403
0.00811,3.0,16030.0,1007.3,337.58,361.675993796438
0.0104,3.7999999999999994,19620.0,1930.6,327.7,727.846828058362
0.008,5.03,12750.0,2682.0,318.55,457.0767237730324
0.008,1.0,17650.0,982.0,159.65,1868.3800108879807
0.009980000000000001,3.5,5982.0,1330.0,120.95,1486.2645817250016
0.0108,2.0,17650.0,1526.0,280.98,1188.5797601863742
0.01,1.0,2707.0000000000005,724.0,106.34000000000002,3073.273054510355
0.00803,4.0,15690.0,2024.0,261.33,761.3857103809714
0.01,2.0,13720.0,1514.0,113.24,2168.675778567791
0.00607,0.7900000000000001,12750.0,1604.0,249.92,1892.1807905286553
0.00792,0.5,7840.0,2786.0,118.67000000000002,6975.800226569176
0.00622,0.9100000000000001,6895.0,2658.0,157.46000000000004,3811.9129359722137
0.00785,1.0,5100.0,2534.8,79.01,5055.353607028723
0.00581,1.0,9800.0,1499.0,158.26,2451.4673576802015
0.00996,0.9599999999999999,2784.9999999999995,2372.0,141.48000000000002,4477.716408640146
0.012800000000000002,1.93,5269.999999999999,1328.0,227.77000000000004,1921.3731607198715
0.007789999999999999,6.0,9810.0,4002.0,97.94000000000003,1541.5278300195935
0.0108,1.0,9810.0,2741.7,160.91000000000003,4530.6629512012005
0.007000000000000001,0.98,9930.0,3452.0,285.89,1989.5742800980806
0.00607,0.7900000000000001,7850.0,3217.0,262.14,2662.7869430482388
0.0024,0.5,3100.0000000000005,1772.0,51.18999999999999,3674.3835865855217
0.01,2.0,1373.0,392.0,72.8,938.0705450326204
0.00578,3.0,13720.0,3335.0,319.89,746.5017296560109
0.00799,1.0,9810.0,1000.9999999999999,223.3,1870.9027788043024
0.01,1.25,3413.0,332.0,56.13,1518.2193290069702
0.01,1.0,14000.0,990.0,191.02,2057.0281466394663
0.0078,7.0,17650.0,2772.0,96.10000000000001,1032.8006766214967
0.00805,15.000000000000002,13720.0,2777.0,310.9,140.57079151179641
0.008,1.57,12750.0,2652.0,280.53,1513.7968453168871
0.01,1.0,14000.0,412.0,152.42000000000002,1368.0198869407177
0.008,1.57,4900.0,1595.0,169.77,2525.056311711669
0.008,1.57,12750.0,2201.0,209.1,2107.353755787015
0.008,1.57,4900.0,1595.0,109.63,2971.447947591543
0.00801,3.0,17650.0,501.0,118.08000000000001,510.63441057503223
0.0113,1.829,13811.0,2047.6,322.22,980.1056084558368
0.009930000000000001,1.04,2079.0,203.0,131.15000000000003,980.4423587918282
0.0151,3.178,4992.0,1120.0,183.28,1623.747153118253
0.0104,3.7999999999999994,19610.0,1930.0,330.81,711.8314259573817
0.008,1.0,13730.0,980.0000000000001,188.63,1861.3863594233992
0.01,4.966,12000.0,2662.0,306.72,590.125671826303
0.00809,1.0,9810.0,1964.0,289.02,1818.4661846607926
0.008,1.57,9800.0,1620.0,303.79,1298.2517901435494
0.00585,4.0,15690.0,3318.0,137.68000000000004,1495.785866700113
0.01,2.0,13720.0,1175.0,108.24,1812.3159028589728
0.008,0.7900000000000001,2940.0000000000005,3965.9999999999995,178.86999999999998,4783.200265526772
0.01001,3.0,7000.0,3640.0,193.74,2220.169471770525
0.00581,1.0,11760.000000000002,5019.0,138.14,5909.881357729435
0.009530000000000002,1.727,6964.0,2088.2,173.98,2661.368408933282
0.013100000000000002,1.75,3275.0,996.0,51.8,3029.622357726097
0.01001,3.0,18000.0,2147.0,339.21,776.302597887814
0.00805,2.0,13720.0,2008.9999999999998,300.99,976.8045161888003
0.014100000000000001,1.27,11029.0,2034.0,280.21,1901.3550818115473
0.00607,0.7900000000000001,14700.0,3189.0,321.25,1643.4577606171372
0.01001,3.0,15690.0,371.0,321.57,251.04314769525078
0.009980000000000001,2.0,8924.0,660.0,76.73,1473.2811277061703
0.01,4.966,9800.0,2979.0,288.56,793.0967938266695
0.010200000000000002,3.658,6893.0,5342.6,154.88,2583.582751855254
0.009980000000000001,1.0,7944.0,1534.0,96.32000000000001,4213.556640893221
0.008,1.57,9800.0,4979.0,260.84,2377.338578775525
0.008,5.03,12750.0,3218.0,261.13,863.4710839092731
0.0082,5.34,17650.0,1010.0,56.66,604.1668804176152
0.0126,4.877,8177.0,961.6,255.57000000000002,657.0914424434304
0.008,1.4,2982.0,4052.0000000000005,137.17000000000002,4154.0191814899445
0.015000000000000001,5.372,4060.0,1318.0,191.74,1083.9538635909557
0.0108,1.0,6860.0,1993.0000000000002,180.53999999999996,3534.7113270759583
0.00578,2.0,15690.0,3441.0,177.4,2409.023669704795
0.012300000000000002,0.616,550.0,100.0,126.05000000000001,1052.2919909358025
0.0038399999999999997,1.55,2940.0000000000005,3984.0,209.14,2063.1162854135036
0.01,2.0,7000.0,5364.0,186.27000000000004,3376.8847673237324
0.010750000000000001,4.0,11760.000000000002,1007.0000000000001,298.8,443.1814403273165
0.009980000000000001,3.5,4021.0000000000005,664.0,88.79,899.1535592451692
0.00607,0.7900000000000001,9800.0,2708.0,259.82,2376.8380201011896
0.00801,1.0,6860.0,2000.0000000000002,120.21000000000001,3826.0760831832886
0.00802,1.57,17650.0,2689.0,265.42,2084.758960619569
0.01,4.966,17650.0,658.0,337.63,179.6810352867469
0.00801,3.0,13730.0,4000.0000000000005,282.7,1426.0759863108397
0.009980000000000001,3.0,6963.0,586.0,116.02000000000002,919.7634480595589
0.00578,3.0,6860.0,1493.0,259.15,702.8314851336181
0.00799,1.0,9810.0,2001.9999999999998,153.23000000000002,3330.3355421721935
0.00394,2.08,2854.0,952.0000000000001,59.24,946.9798748344183
