learning_rate,num_layers,num_nodes,batch_size,MAPE,MSE,R2
0.001,3,200,128,58.89848972268802,1848324.9327492805,0.07366333224390442
0.001,3,250,128,39.25528918391335,1106548.290991682,0.44542421171381763
0.001,3,300,128,35.33609350482045,906094.4631105727,0.5458869213100901
0.001,3,350,128,36.319700260630164,841647.1812597899,0.5781863721576161
0.001,4,200,128,38.94728921735495,928306.6511360079,0.5347546988991486
0.001,4,250,128,39.709901376538646,895903.8631132253,0.5509942086039625
0.001,4,300,128,38.373614706672406,1286459.7042115487,0.35525687367683845
0.001,4,350,128,36.556531820553765,887742.7093052323,0.5550843855471996
0.001,5,200,128,47.47953488408747,1126324.3638172692,0.4355129125272037
0.001,5,250,128,38.54034973189281,1033288.938832277,0.4821400634338783
0.001,5,300,128,35.79877484062405,1195348.267794025,0.40091976709457755
0.001,5,350,128,37.55279667057738,1085593.3795573884,0.4559263168833315
