learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.0005,3,200,32,19.08281086289359,0.853876898331115
0.0005,3,200,64,14.582661149220208,0.926990643600336
0.0005,3,200,128,11.176457360323912,0.9550171298971826
0.0005,3,250,32,21.318734261972892,0.873933800055084
0.0005,3,250,64,1225.640074048747,-86.00249970152878
0.0005,3,250,128,11.266082425844912,0.9559563954439898
0.0005,3,300,32,21.10401771288365,0.8506080410872876
0.0005,3,300,64,36.00943914396251,0.6320471774463274
0.0005,3,300,128,13.852572047787962,0.9263773957083238
0.0005,4,200,32,20.51281661007807,0.8750626978605562
0.0005,4,200,64,14.106465901890852,0.9174735972270296
0.0005,4,200,128,10.121741633553652,0.9625516392528758
0.0005,4,250,32,19.416616420787257,0.866576767333802
0.0005,4,250,64,15.029903486615009,0.9267301242768342
0.0005,4,250,128,11.67072743709042,0.9390205011024334
0.0005,4,300,32,1051.478130206237,-48.27386500644733
0.0005,4,300,64,1051.478130206237,-48.27386500644733
0.0005,4,300,128,1051.478130206237,-48.27386500644733
0.001,3,200,32,19.513534662536056,0.8769999294192011
0.001,3,200,64,14.95462127376414,0.9293366693678812
0.001,3,200,128,11.442905893091629,0.9474324213056255
0.001,3,250,32,20.183136496433875,0.8520621730828939
0.001,3,250,64,14.255874008888247,0.9071688895251983
0.001,3,250,128,11.969672303105467,0.9502887886130773
0.001,3,300,32,1051.478130206237,-48.27386500644733
0.001,3,300,64,14.552706004914754,0.9145736706758325
0.001,3,300,128,14.486203864656124,0.9200563442939151
0.001,4,200,32,20.570572399613166,0.8584274218306451
0.001,4,200,64,13.73864452274882,0.9155460635996189
0.001,4,200,128,11.186613527021203,0.9498572798657771
0.001,4,250,32,18.964153318151826,0.8636284336490608
0.001,4,250,64,13.670005536651358,0.9315144926568076
0.001,4,250,128,11.299556498132963,0.9498231192569576
0.001,4,300,32,1051.478130206237,-48.27386500644733
0.001,4,300,64,24.012995735698713,0.8089826379277398
0.001,4,300,128,1225.6400753858927,-86.00249994176782
