m,m.1,kPa,kg m-2s-1,Â°C,kW m-2
0.010073732242057955,0.9998985136804849,9756.269999103733,690.5751140666614,117.50692450155458,2372.569681875308
0.010039686598142708,0.9953595635069935,9753.985980079571,859.8503158829624,121.40715202056624,2650.535469998432
0.010027974150144838,1.0070424413453414,9647.97013874595,1013.8502731283879,125.06126546750184,2907.466147832314
0.010083209511275969,1.0115370812175448,9792.282742837822,1180.0070226283156,123.50473061049472,3189.5357966516453
0.01008508577793983,0.9862550502901952,9812.797340080446,1303.9180144376555,123.34759563673704,3485.8303644095395
0.009990271855246691,0.9967688903887568,9877.74981687278,1337.4873671541097,114.23289435649114,3636.0286058501056
0.010006914821857992,0.9851697186615754,9722.14478892145,1523.8519066390586,115.98348198970837,3839.007290988645
0.01009214755532159,1.017315259444704,9668.400687114912,1859.3872497483458,132.89630348049198,3900.635872357869
0.009902298048346561,1.0067309251073815,9895.766759508053,1930.3315214026934,125.28191122951519,4213.24308292769
0.010048614633102176,1.0009111298218607,9782.84553682245,2341.3444342008793,135.66836323461857,4464.463429884263
0.009969096107294009,0.9984701350209573,9940.769779059268,2501.1786008563554,136.417307179916,4663.91221923857
0.010209911926124698,0.9877532815541042,9751.526706156328,2805.3810947213105,139.1357102809812,4926.704597856354
0.010097006058322443,1.9612326932405983,9978.220173830097,476.132761022988,104.65956609021805,1116.0933771115854
0.009981596588966834,1.9825467964640402,9650.578855338117,526.0009714046762,99.34285937911348,1181.7313572005678
0.009835677583083497,2.0035642280680324,9743.750873527551,578.7401712776783,95.71573977676496,1298.9351056145072
0.010017421360146325,1.9635129565016005,9805.666260778265,620.6531725515913,97.6371456531641,1362.7149978925652
0.009973286838877403,2.024191640535094,9757.25896351694,657.3379837656361,99.15238361475872,1398.2742207747078
0.009824870972234917,1.9815054015526288,9749.554542212954,847.1904982286328,104.75796067820703,1659.61874575736
0.010074715861645774,2.003556051966845,9671.483455004522,878.9767012943306,104.17338898974245,1671.9582148971028
0.010045092909178042,1.9923300838023112,9713.28185398876,900.478782940884,114.07567276598634,1633.6249471002156
0.009843122476887442,1.9999489683487817,9693.096443309949,964.4890141066944,112.97854971728471,1772.9303485171015
0.010044504725302935,2.0266487930401134,9736.466348684784,1165.3753133409766,119.04479032071963,1943.431561366476
0.009756940970532032,2.015154028627467,9897.720753122394,1423.118802037925,139.10495773960832,2070.4478699281112
0.009974401672139884,1.9945844979870806,9879.106973009382,1792.8630373273236,140.3512931198501,2274.957183247637
0.010093294943451219,2.0546103415915122,9740.297471704085,1936.1492568882998,143.03899893123324,2396.334719928915
0.010118365965614511,2.0083142311592366,9870.390539122598,2020.9720345960384,147.34079829289448,2460.6882382414765
0.009958639690236836,2.0206217864235687,9869.38219242427,2508.266968012517,154.5562755127626,2598.1061403642193
0.009942781102047974,1.9448978472789853,9984.5198999395,2780.3788563446083,159.72324549204143,2717.429914244262
0.010179959692743335,2.0154513137761474,9908.955514231007,514.3505779661284,172.0808646160656,1015.8552163430044
0.00995924166960514,1.9631276444087271,9809.48400871606,688.0005224274443,190.30391996518935,1197.9243164516897
0.010004217847430046,2.0060400800939178,9646.279845289691,879.392146180653,196.77979533725218,1306.4996473499004
0.01009062482646842,1.9782044613858993,9801.051117351148,873.5050728775972,197.05323002373697,1312.9313265355017
0.009908280540053103,1.999838626371584,9857.85158904805,1049.7129916176061,202.40062040219965,1526.3303623350612
0.010100291127179122,1.969475108135216,9830.339967486845,1125.8207527555423,197.75632987694362,1580.4246665686796
0.010001942125192198,2.0096949587901736,9819.857736761598,1186.5240893974003,195.909941358365,1650.476118608191
0.009970433673525993,2.0087310244488443,9691.473788453559,1502.7166776983304,198.56400429537075,1818.0022992176725
0.00990504163335887,2.015167342840754,9829.87726860666,1645.0303943151525,199.4279675148643,1847.2977484019389
0.010038289085230299,2.016668634833301,9718.097655798232,1989.2470942614623,207.9392692641523,1945.7885776573683
0.010028293584342774,2.0097259142805086,9857.776510994334,2030.5529097469082,219.20806153611326,1950.9975187574016
