m,m.1,kPa,kg m-2s-1,Ã‚Â°C,kW m-2
0.010070274757806898,2.005323471493525,11764.437024869687,466.1774294680311,171.9954722558954,920.060771556364
0.010115616498442588,0.9850721971243366,13835.688033702058,2012.6393397757458,201.7201949064817,3067.498527926511
0.009988347173712891,0.9919058867633214,11708.324639937724,583.2060930044712,95.46905328443749,2117.74637589619
0.010044176092810869,2.0105079580960346,13857.565244056752,823.2544135713085,106.92129073583997,1464.1188772394914
0.010057601469958688,5.0292637079019045,9674.227231444978,488.2221538687932,284.57500976999836,337.5669896894951
0.009950348021690134,0.9891324544414559,13711.400089708612,1057.043844608015,198.64612122282418,2033.5120893055937
0.009964685239800432,3.0289076793977663,9837.613820616043,517.4906609616974,287.24577050304424,531.1036071236671
0.009922411129170926,2.0062714169096254,13801.214021337311,1381.43769050483,111.71421387721078,2019.5553411759722
0.009882352885620154,4.968494884068158,12037.584612319817,2826.1879971354438,302.12935303517895,689.4243837906537
0.009930605375064284,4.894892727487096,19617.512395210073,1278.7297194667888,261.72084239715497,535.0747197833944
0.009844758008367508,0.992058251337504,15544.129372551834,911.5083444380197,101.10449692481481,2647.6296835338003
0.010263317914437351,3.0127943809266906,17801.878222708932,3172.9919552698216,335.3077092944883,1119.9795746310353
0.0102213409608728,5.001991448026099,19264.06045404596,1265.2488475010348,348.7716741948275,316.98066214154943
0.009974486686454216,3.0282399562689113,13886.817672520712,1834.9391234977081,318.89406585294194,642.9734618287655
0.009965329845280889,2.998808292248326,9879.870354112032,3930.7355234154725,290.7190825247288,1318.5572348372987
0.009962723168548706,1.9870703377164494,10012.372888875912,712.6625936669417,184.89846772964938,1192.8214310282985
0.010082163922585811,2.0434922247949916,13816.49496381097,1116.8743856497474,111.92796935906445,1733.1887849829952
0.00992895669619778,2.0190454771848665,15672.13183048074,3223.3889935600055,330.4859722098481,1233.8748381597902
0.010008652362856722,4.955586435035819,15998.944185035507,1942.6653942992643,326.80833218042557,444.13942436252626
0.01017646271990184,4.978143059460821,17790.961407320938,2624.0426197230177,340.4623811632092,616.6129488286863
0.010082248584894142,4.965186072661185,9851.598496992216,473.6507599950983,206.04522725256888,418.4568862060917
