d,l,m,p,t,c
0.00801,3.0,1003.0,9810.0,82.88,1154.0
0.0093,1.219,299.7,202.0,95.44,865.0
0.00795,2.0,1495.0,9800.0,78.47,2070.0
0.00776,2.08,463.0,3933.0,103.46,937.0
0.00782,0.25,2991.0,6860.0,219.9,5891.0
0.01,4.966,4107.0,15690.0,325.07,987.0
0.00578,2.0,3441.0,14710.0,137.7,2620.0
0.00781,3.0,1044.0,17650.0,328.24,387.0
0.0131,2.25,290.0,2373.0,30.53,1000.0
0.00996,0.96,1289.0,3070.0,128.15,4013.0
0.01075,6.0,2770.0,9800.0,259.82,873.0
0.00811,5.0,501.5,9990.0,210.47,345.0
0.00778,6.0,1990.0,13730.0,87.54,920.0
0.00578,3.0,3314.0,11760.0,177.73,1418.0
0.008,3.49,999.0,12750.0,149.0,770.0
0.00585,4.0,4972.0,7840.0,159.04,1829.0
0.00811,3.66,1250.6,14000.0,236.99,652.0
0.00801,3.0,1000.0,17650.0,119.27,886.0
0.00607,0.792,3197.0,9800.0,172.38,4090.0
0.01,2.25,188.0,2128.0,51.87,506.0
0.00993,3.12,450.0,3079.0,119.14,775.0
0.00394,2.08,678.0,2726.0,58.13,760.0
0.00925,3.05,4055.6,6870.0,271.2,1630.0
0.00578,3.0,1493.0,13720.0,179.38,809.0
0.01105,1.0,962.0,7840.0,118.67,2969.0
0.008,0.99,2019.0,6860.0,275.18,2500.0
0.008,0.79,983.0,9800.0,51.59,3343.0
0.0104,3.8,1701.0,17650.0,200.66,1116.0
0.01001,3.0,1737.0,19610.0,347.73,632.0
0.0108,2.0,1511.0,5880.0,259.87,1767.0
0.00795,2.0,985.0,17650.0,76.89,1383.0
0.00811,5.0,2017.7,13980.0,326.81,385.0
0.008,0.78,1603.0,14700.0,311.31,1408.0
0.01,2.0,2506.0,16000.0,153.47,2939.0
0.0131,2.0,864.0,3001.0,50.12,2536.0
0.00811,2.0,500.6,2000.0,192.86,872.0
0.00585,4.0,3318.0,13720.0,319.89,550.0
0.00798,1.65,3811.0,17650.0,331.18,1721.0
0.01001,3.0,503.0,5000.0,122.94,911.0
0.01,1.0,1166.0,16000.0,121.35,3104.0
0.00921,3.66,4111.1,6870.0,234.05,1715.0
0.01,2.0,899.0,13720.0,111.1,1480.0
0.0151,6.0,1409.0,14710.0,280.73,582.0
0.008,1.4,4034.0,2989.0,156.65,3797.0
0.00805,2.0,3305.6,11790.0,260.17,1606.0
0.008,1.6,3191.0,14700.0,244.77,2315.0
0.00993,1.04,203.0,2628.0,98.17,1036.0
0.008,3.49,999.0,7850.0,128.71,972.0
0.00782,3.0,2000.0,9900.0,63.67,1900.0
0.00622,0.914,3607.0,10343.0,116.63,5394.4
0.00798,6.0,1515.2,5010.0,164.9,734.0
0.008,1.57,3180.0,7850.0,225.86,2360.0
0.01,4.966,4366.0,7000.0,187.86,1908.0
0.01001,3.0,2135.0,14000.0,314.43,734.0
0.00394,2.08,1909.0,2020.0,54.01,1458.0
0.00779,6.0,1937.0,9810.0,232.41,570.0
0.0134,3.658,2040.1,17354.0,347.45,693.6
0.008,0.79,989.0,7850.0,176.23,2686.0
0.008,1.57,1595.0,17700.0,203.85,1705.0
0.008,1.8,1994.0,2995.0,196.44,2041.0
0.0078,7.0,1502.0,17650.0,56.66,723.0
0.01,1.5,692.0,696.0,87.73,1524.0
0.01,4.966,2266.0,14000.0,317.4,510.0
0.0077,2.6,2750.0,14710.0,179.92,1884.0
0.00792,1.65,4004.0,17650.0,333.13,1721.0
0.0134,3.658,2039.3,13869.0,308.77,781.9
0.00585,4.0,1499.0,15690.0,260.3,462.0
0.01001,3.0,5540.0,18000.0,257.94,2921.0
0.008,5.03,2648.0,17700.0,330.3,560.0
0.008,1.57,1625.0,9800.0,289.86,1317.0
0.00778,6.0,3898.0,17650.0,200.66,1430.0
